customer_id,total_spend,order_count,last_purchase,segment
C0015,548551.9,27,2023-12-16,Low Value
C0098,669168.3,28,2023-12-31,Low Value
C0126,730862.2,21,2023-12-26,Low Value
C0018,624884.25,17,2023-12-15,Low Value
C0021,712668.95,22,2023-12-17,Low Value
C0132,868402.15,26,2023-12-08,Mid Value
C0140,1375251.7,26,2023-12-25,High Value
C0044,557195.0,18,2023-11-25,Low Value
C0050,1347062.75,21,2023-11-20,High Value
C0031,1698814.2,28,2023-12-06,High Value
C0154,1333003.4,28,2023-12-14,High Value
C0136,786122.25,30,2023-12-30,Low Value
C0049,738995.5,23,2023-12-28,Low Value
C0003,1033505.7,24,2023-12-25,Mid Value
C0090,1188140.05,28,2023-11-19,Mid Value
C0129,1590682.9,26,2023-11-17,High Value
C0082,925195.8,20,2023-12-18,Mid Value
C0174,687902.0,22,2023-12-13,Low Value
C0096,1337880.0,33,2023-12-03,High Value
C0151,1043810.75,23,2023-12-26,Mid Value
C0060,550191.8,30,2023-12-19,Low Value
C0095,920128.7,20,2023-12-18,Mid Value
C0125,1174100.3,26,2023-11-27,Mid Value
C0045,1339491.4,27,2023-12-27,High Value
C0107,1509828.4,24,2023-12-23,High Value
C0086,1185760.85,23,2023-12-27,Mid Value
C0068,1461789.6,27,2023-12-19,High Value
C0161,879608.95,24,2023-12-22,Mid Value
C0029,698656.15,19,2023-11-07,Low Value
C0038,797060.9,21,2023-12-09,Low Value
C0122,1171730.0,25,2023-12-25,Mid Value
C0020,1536080.15,22,2023-12-09,High Value
C0198,1382280.5,19,2023-12-31,High Value
C0152,1404184.9,25,2023-12-30,High Value
C0058,1837953.6,25,2023-12-18,High Value
C0112,269422.25,19,2023-12-24,Low Value
C0054,962829.35,28,2023-12-22,Mid Value
C0059,964909.1,16,2023-12-30,Mid Value
C0008,659484.05,31,2023-12-16,Low Value
C0040,1750374.15,30,2023-12-27,High Value
C0024,1168630.15,22,2023-12-31,Mid Value
C0081,1082206.8,22,2023-12-17,Mid Value
C0057,1093396.2,22,2023-12-28,Mid Value
C0034,649318.5,34,2023-12-29,Low Value
C0065,476137.35,10,2023-11-26,Low Value
C0039,1563882.2,23,2023-12-05,High Value
C0163,917721.85,24,2023-12-12,Mid Value
C0089,470735.4,17,2023-11-21,Low Value
C0004,948594.1,23,2023-11-18,Mid Value
C0176,799554.15,30,2023-12-25,Low Value
C0025,1111445.35,16,2023-09-13,Mid Value
C0142,249593.0,23,2023-12-23,Low Value
C0120,1059231.3,20,2023-12-29,Mid Value
C0119,492532.2,25,2023-12-05,Low Value
C0169,1932841.65,32,2023-12-01,High Value
C0177,1481688.6,32,2023-12-25,High Value
C0007,1082067.9,27,2023-12-29,Mid Value
C0063,541391.5,24,2023-12-15,Low Value
C0178,1072726.7,26,2023-12-04,Mid Value
C0157,1853899.45,26,2023-12-30,High Value
C0114,571247.5,21,2023-12-31,Low Value
C0160,488288.0,20,2023-12-25,Low Value
C0180,554764.9,19,2023-12-19,Low Value
C0148,1630334.85,28,2023-12-29,High Value
C0134,1272967.7,25,2023-12-31,High Value
C0147,2972799.65,26,2023-12-25,High Value
C0012,2183895.4,27,2023-11-26,High Value
C0124,1156707.85,26,2023-12-29,Mid Value
C0155,610495.25,22,2023-12-28,Low Value
C0158,1253083.0,32,2023-12-19,Mid Value
C0145,1095303.1,26,2023-12-29,Mid Value
C0139,1060851.65,23,2023-12-31,Mid Value
C0064,1668313.05,28,2023-12-16,High Value
C0035,1169721.45,15,2023-12-22,Mid Value
C0113,867711.5,19,2023-11-23,Low Value
C0130,992838.85,27,2023-12-30,Mid Value
C0027,444989.5,23,2023-12-10,Low Value
C0144,824697.0,26,2023-12-31,Low Value
C0166,1329286.6,31,2023-12-15,High Value
C0011,750602.9,25,2023-12-17,Low Value
C0016,1218537.7,17,2023-12-25,Mid Value
C0099,1266928.3,23,2023-12-23,High Value
C0103,620626.9,25,2023-12-29,Low Value
C0162,589465.0,23,2023-12-30,Low Value
C0109,585906.55,18,2023-12-29,Low Value
C0182,996515.0,29,2023-12-17,Mid Value
C0138,1104923.25,27,2023-12-18,Mid Value
C0117,1819516.0,33,2023-12-17,High Value
C0143,1035775.25,29,2023-12-22,Mid Value
C0022,897040.3,19,2023-12-29,Mid Value
C0046,682588.5,24,2023-11-08,Low Value
C0087,595599.6,21,2023-12-05,Low Value
C0189,1132489.35,24,2023-12-05,Mid Value
C0088,1141977.8,32,2023-12-29,Mid Value
C0013,1486226.65,23,2023-12-23,High Value
C0188,1604626.2,19,2023-10-07,High Value
C0168,1448101.35,26,2023-12-22,High Value
C0070,589431.4,19,2023-12-18,Low Value
C0164,1211872.5,23,2023-12-28,Mid Value
C0181,771377.05,18,2023-12-23,Low Value
C0067,1479876.15,32,2023-12-05,High Value
C0101,2158609.25,31,2023-12-25,High Value
C0197,1281113.2,28,2023-12-12,High Value
C0195,1908077.35,26,2023-12-27,High Value
C0179,452187.3,19,2023-12-16,Low Value
C0111,1003071.7,25,2023-12-29,Mid Value
C0056,1793229.35,28,2023-12-03,High Value
C0080,1489788.25,21,2023-12-29,High Value
C0019,2388974.2,23,2023-12-21,High Value
C0085,1103760.25,24,2023-12-26,Mid Value
C0041,400998.45,22,2023-12-14,Low Value
C0074,1695359.45,30,2023-12-30,High Value
C0175,1738766.4,31,2023-12-15,High Value
C0105,1692314.8,29,2023-11-30,High Value
C0102,1724388.2,29,2023-12-04,High Value
C0167,633478.7,21,2023-12-14,Low Value
C0037,2215722.8,23,2023-12-22,High Value
C0100,1712202.0,23,2023-12-14,High Value
C0052,1241512.65,28,2023-12-19,Mid Value
C0032,1119173.45,23,2023-12-31,Mid Value
C0165,978472.05,26,2023-12-30,Mid Value
C0141,884547.05,31,2023-12-31,Mid Value
C0073,1227584.3,29,2023-12-30,Mid Value
C0077,531569.95,30,2023-12-31,Low Value
C0055,1294686.0,28,2023-12-18,High Value
C0121,1570712.5,20,2023-12-15,High Value
C0066,1263702.5,25,2023-12-30,Mid Value
C0170,673945.0,20,2023-12-13,Low Value
C0083,928186.2,25,2023-12-14,Mid Value
C0115,524098.6,21,2023-12-20,Low Value
C0106,1677677.5,25,2023-12-22,High Value
C0014,1131020.4,30,2023-12-19,Mid Value
C0190,1160645.75,25,2023-12-26,Mid Value
C0078,1909001.5,23,2023-11-26,High Value
C0079,1629769.45,29,2023-12-08,High Value
C0030,1131462.4,29,2023-12-30,Mid Value
C0200,1382245.1,26,2023-12-19,High Value
C0146,961239.0,22,2023-12-08,Mid Value
C0005,1038372.05,27,2023-12-15,Mid Value
C0071,1490035.4,25,2023-12-26,High Value
C0076,1370292.0,24,2023-12-31,High Value
C0118,655272.45,21,2023-12-26,Low Value
C0048,979624.45,25,2023-12-29,Mid Value
C0036,1323945.5,24,2023-12-05,High Value
C0116,827077.1,18,2023-12-14,Low Value
C0075,1196417.5,15,2023-11-21,Mid Value
C0173,611753.6,18,2023-12-22,Low Value
C0131,747399.5,25,2023-12-31,Low Value
C0001,1427266.25,30,2023-12-30,High Value
C0184,999625.2,25,2023-12-20,Mid Value
C0183,637412.0,19,2023-12-21,Low Value
C0061,1019722.0,23,2023-12-22,Mid Value
C0171,1357791.3,21,2023-12-23,High Value
C0104,771083.3,23,2023-12-21,Low Value
C0023,648720.7,19,2023-12-25,Low Value
C0062,1440058.6,16,2023-12-10,High Value
C0069,1570538.95,24,2023-12-11,High Value
C0193,492199.35,19,2023-12-24,Low Value
C0097,1394353.45,21,2023-09-30,High Value
C0137,1054467.95,21,2023-12-20,Mid Value
C0028,1984022.1,30,2023-12-28,High Value
C0172,897716.4,28,2023-12-09,Mid Value
C0196,1970761.35,35,2023-12-10,High Value
C0150,1745136.35,29,2023-12-21,High Value
C0199,839127.35,20,2023-12-14,Low Value
C0010,1057931.0,15,2023-11-08,Mid Value
C0002,1987823.75,28,2023-12-15,High Value
C0135,176405.0,22,2023-12-28,Low Value
C0033,615140.5,25,2023-12-02,Low Value
C0110,1384761.2,28,2023-12-25,High Value
C0043,1044534.2,25,2023-12-01,Mid Value
C0092,1318817.75,19,2023-12-31,High Value
C0153,1175059.1,32,2023-12-27,Mid Value
C0159,1350223.0,27,2023-12-19,High Value
C0042,1208943.9,23,2023-12-25,Mid Value
C0156,807765.85,23,2023-11-24,Low Value
C0084,1355163.25,20,2023-12-29,High Value
C0128,1054315.25,30,2023-12-25,Mid Value
C0094,615675.8,24,2023-12-30,Low Value
C0186,793569.3,21,2023-12-19,Low Value
C0017,1765641.95,25,2023-12-28,High Value
C0187,1892148.05,26,2023-12-23,High Value
C0009,1315300.45,27,2023-12-13,High Value
C0091,401029.15,23,2023-12-19,Low Value
C0053,1189377.35,24,2023-12-29,Mid Value
C0093,1246638.0,14,2023-12-16,Mid Value
C0133,1088953.65,15,2023-12-24,Mid Value
C0051,980212.45,27,2023-12-30,Mid Value
C0072,711005.9,28,2023-12-16,Low Value
C0191,632702.05,22,2023-12-22,Low Value
C0026,1479154.45,20,2023-12-20,High Value
C0006,1303723.0,23,2023-12-25,High Value
