year,month,month_name,total_revenue,total_orders,avg_order_value
2023,1,January,16019169.65,406,39456.08
2023,2,February,17450908.95,384,45445.08
2023,3,March,18783810.95,408,46038.75
2023,4,April,18020256.8,358,50335.91
2023,5,May,17467767.15,410,42604.31
2023,6,June,17947370.45,412,43561.58
2023,7,July,20142271.05,418,48187.25
2023,8,August,17618757.1,411,42868.02
2023,9,September,23792183.15,416,57192.75
2023,10,October,19945084.85,389,51272.71
2023,11,November,18264245.65,404,45208.53
2023,12,December,17826299.05,428,41650.23
